id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.coadvisor,dc.contributor.coadvisor[],dc.contributor.edition,dc.contributor[],dc.coverage.spatial[],dc.coverage.spatial[es_ES],dc.coverage.temporal[es_ES],dc.creator,dc.creator[],dc.date.embargoEnd[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_ES],dc.description.affiliation[],dc.description.affiliation[es_ES],dc.description.extra[es_ES],dc.description.peerreviewed[es_ES],dc.description.sponsorship[es_ES],dc.format[],dc.format[es_ES],dc.identifier.citation[],dc.identifier.citation[es_ES],dc.identifier.doi,dc.identifier.doi[],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[es_ES],dc.publisher[],dc.publisher[es_ES],dc.relation.dataset[es_ES],dc.relation.hasversion[],dc.relation.isbasedon[],dc.relation.isversionof[],dc.relation.projectid[es_ES],dc.relation.references[],dc.relation.references[es_ES],dc.rights.holder[es_ES],dc.rights.uri[*],dc.rights.use[*],dc.rights.use[es_ES],dc.rights[es_ES],dc.source[es_ES],dc.subject[],dc.subject[es_ES],dc.title.alternative[es_ES],dc.title[es_ES],dc.type.snrd[es_ES],dc.type.version[es_ES],dc.type[es_ES],dcterms.publisher[es_ES]
"901","20.500.12272/535",,,,,,,,,,"Guilarducci, Anabela||Beltramini, Loreley",,,"2013",,,"Los estériles son residuos de la depuración de carbón mineral, compuestos de arcillas caoliníticas impurificadas con cuarzo. Estos pueden, mediante su activación térmica, emplearse como puzolanas artificiales para la producción de cementos mezclas. Para obtener la mayor reactividad de este material es necesario modificar su estructura cristalina por dehidroxilación, mediante el estricto control de parámetros como la temperatura, tiempos de calcinación y método de enfriamiento. Para determinar las condiciones óptimas de producción, se estudian estériles procesados provenientes de la Central Termoeléctrica de Río Turbio, a temperaturas variables entre 400 y 800°C, con tiempos de permanencia en horno comprendidos entre 60 y 180 minutos, y cuyo enfriamiento puede ser al aire o introducidos en agua. Mediante diseños de experimentos se identifican las combinaciones más favorables de temperatura y tiempos de calcinación (enfriadas en aire o agua) representadas por los resultados obtenidos de los ensayos de caracterización de las diferentes muestras producidas.",,,,"Peer Reviewed",,"application/pdf",,,"1ª Jornada de Jóvenes Investigadores Tecnológicos (JIT 2013)",,,,,,,"http://hdl.handle.net/20.500.12272/1988",,,"spa",,,,,,,"Ceniza generadas en lechos fluidizados. Factibilidad de reproducción en laboratorio.",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación.","info:eu-repo/semantics/openAccess",,,"carbón, activación térmica, cemento, puzolanas artificiales",,"PUZOLANAS ARTIFICIALES. ESTUDIO DE LA ACTIVACIÓN TÉRMICA DE RESIDUOS DE CARBÓN.","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"902","20.500.12272/535",,,,,,,,,,,"Guilarducci, Anabela||Beltramini, Loreley||Carrasco, María Fernanda||Grether, Rudy Omar||Romano, Melisa",,,"2014",,"En la localidad de Río Turbio, provincia de Santa Cruz está próxima a entrar en funcionamiento una Central Termoeléctrica de Lecho Fluidizado cuyo abastecimiento es carbón de la zona sin depurar. Se estima que el residuo generado en la base de la caldera será de aproximadamente 30 t/h a partir de la puesta en marcha, considerando el funcionamiento del generador al 100% de su capacidad y en régimen permanente.
En particular este residuo, denominado cenizas de fondo, producto de la calcinación en un rango de temperaturas comprendidos entre 850 y 900°C, estará compuesto principalmente por arcilla calcinada y carbón remanente.
En este trabajo se evalúa la potencialidad del residuo industrial como adición puzolánica para el cemento. A partir de él, fueron generadas dos muestras de diferentes finuras para evaluar y comparar el comportamiento de las mismas.
En el presente estudio se evaluó la reactividad del residuo mediante ensayos de Cal Fijada y Puzolanicidad por vía química (Método de Frattini). Se realizó, además, la caracterización física y química de las muestras y se evaluaron las propiedades en estado fresco y endurecido de pastas y morteros elaborados a partir de la incorporación de distintos porcentajes de estas muestras a un cemento Portland normal sin adiciones.
Los resultados obtenidos establecen grados de finura para posibilitar la reutilización de este residuo, que brindan adecuado comportamiento mecánico y elevada reactividad.",,,,"Peer Reviewed",,"application/pdf",,,"VI Congreso internacional. 20ª Reunión Técnica de la AATH",,,,,,,,"http://hdl.handle.net/20.500.12272/1990",,"spa",,,,,,,"Cenizas generadas en lechos fluidizados. Factibilidad de reproducción en laboratorios.",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Cemento portland, puzolanas artificiales, tratamiento térmico, carbón mineral, residuos.",,"RESIDUOS INDUSTRIALES DE UNA CENTRAL TERMOELÉCTRICA. UTILIZACIÓN COMO ADICIONES PUZOLÁNICAS","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"904","20.500.12272/535",,,,,,,,,,,"Guilarducci, Anabela||Beltramini, Loreley||Carrasco, María Fernanda||Grether, Rudy Omar||Chiovetta, Mario",,,"2014",,"En este trabajo se presenta la experiencia de reproducción en laboratorio del residuo que será generado como consecuencia de la puesta en marcha de la Central Termoeléctrica a base de Lecho Fluidizado que se está construyendo en la localidad de Río Turbio en la provincia de Santa Cruz (Argentina).
Para este análisis, se tomó como base el estudio de impacto ambiental realizado por el Grupo Isolux Corsán S.A. y Otros – UTE (2008) que brinda los datos teóricos relacionados con el funcionamiento de la planta.
Esta central termoeléctrica usará como combustible para su funcionamiento carbón mineral sin depurar, que incorpora una proporción significativa de estéril (material inerte compuesto principalmente por material arcilloso que es extraído de manera conjunta con el carbón). En base a las características del combustible y de la operación de la central se estima que se obtendrá, como residuo de este proceso de combustión, un material potencialmente reactivo para ser utilizado como adición mineral para el cemento.
Para la reproducción se evaluaron principalmente los parámetros tiempo y temperatura necesarios para la generación de un material con la composición química indicada para el residuo. Asimismo, fue fundamental la evaluación del método de enfriado de las cenizas para lograr la estructura cristalográfica esperada.
Los resultados obtenidos de composición química y DRX, muestran que, en principio, con la reproducción en laboratorio se puede obtener un material similar al posible residuo que se producirá en la planta cuando ésta entre en funcionamiento. Asimismo se destaca que de la evaluación de las cenizas obtenidas en laboratorio, se estima que los residuos reales podrán ser utilizados como un material puzolánico para ser empleado como adiciones minerales para el cemento.",,,,"Peer Reviewed",,"application/pdf",,,"Congreso Internacional de Metalurgia y Materiales SAM-CONAMET",,,,,,,,"http://hdl.handle.net/20.500.12272/1991",,"spa",,,,,,,"Cenizas generadas en lechos fluidizados. Factibilidad de reproducción en laboratorio.",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su Aprobación","info:eu-repo/semantics/openAccess",,,"Cemento Portland, puzolanas, reproducción en laboratorio, carbón, residuo.",,"ADICIONES ARTIFICIALES REPRODUCCIÓN EN LABORATORIO DE CENIZAS DE LECHO FLUIDIZADO","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"905","20.500.12272/535",,,,,,,,,,"Guilarducci, Anabela||Grether, Rudy Omar||Chiovetta, Mario",,,"2014",,,"Puzolanas Artificiales: Reproducción en Laboratorio de Cenizas de Fondo",,,,"Peer Reviewed",,"application/msword",,,"3ERA JORNADAS DE INTERCAMBIO Y DIFUSIÓN DE LOS RESULTADOS DE INVESTIGACIONES DE LOS DOCTORANDOS DE INGENIERÍA DE LA UTN",,,,,,,"http://hdl.handle.net/20.500.12272/1992",,,"spa",,,,,,,"Cenizas generadas en lechos fluidizados. Factibilidad de reproducción en laboratorio.",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Cemento Portland, puzolanas, reproducción en laboratorio, carbón, residuo.",,"PUZOLANAS ARTIFICIALES: REPRODUCCIÓN EN LABORATORIO DE CENIZAS DE FONDO","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"906","20.500.12272/535",,,,,,,,,,,"Guilarducci, Anabela||Grether, Rudy Omar||Beltramini, Loreley B.||Carrasco, María Fernanda",,,"2015",,"La gran cantidad de desechos dispuesto en vertederos cada año, el empobrecimiento global de recursos naturales y del medio ambiente y la emergencia por las emisiones de dióxido de carbono, son algunas de las motivaciones que impulsan a los investigadores y al mundo industrial para avanzar hacia soluciones sostenibles para el campo de la ingeniería civil.",,,,"Peer Reviewed",,"application/pdf",,,"International Conference on Sustainable Structural Concrete",,,,,,,,"http://hdl.handle.net/20.500.12272/1993",,"spa||eng",,,,,,,"Cenizas generadas en lechos fluidizados. Factibilidad de reproducción en laboratorio.",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Cemento Portland, puzolanas, reproducción en laboratorio, carbón, residuo.",,"RESIDUOS DE UNA CENTRAL TERMOELÉCTRICA COMO ALTERNATIVA PARA LA GENERACIÓN DE CEMENTOS SOSTENIBLES","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"963","20.500.12272/535",,,,,,,,,,"Villarreal, Pablo||Roa, Jorge||Chiotti, Omar",,,"2013",,,"The verification of business processes has been widely studied in the last two decades achieving significant results. Despite this, existing verification tech-niques based on state space exploration suffer, for large processes, the state space explosion problem. New techniques improved verification performance by structuring processes as trees. However, they do not support complex con-structs for advanced synchronization and exception management. To cope with this issue we propose the definition of an unsoundness profile of a given pro-cess language, which specifies all possible combinations of control flow con-structs that can lead to errors in the behavior of structured processes defined with such a language. In addition, we introduce the sequential and hierarchical soundness properties, which make use of this profile to determine soundness of a structured process with complex constructs in polynomial time. As an exam-ple, we defined an unsoundness profile for a subset of the BPMN language and verified the behavior of a BPMN process model.",,,,"Peer Reviewed",,"application/pdf",,,"Argentine Symposium on Software Engineering 2013, 42 JAIIO",,,,,,,"http://hdl.handle.net/20.500.12272/2129",,,"eng||eng",,,,,,,"Gestión de Procesos de Negocios en Colaboraciones Inter-Organizacionales",,,"Pablo Villarreal","http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su publicación","info:eu-repo/semantics/openAccess",,,"Business Process, Verification, Soundness, Correctness Properties",,"Verification of Structured Processes: A Method Based on Unsoundness Profile","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"962","20.500.12272/535",,,,,,,,,,,"Chiotti, Omar||Roa, Jorge||Villarreal, Pablo",,,"2015",,"The verification of the behavior of Collaborative Business Processes is an important aspect to consider when developing inter-organizational systems. In this work, a verification approach for the control flow of collaborative processes based on anti-patterns is proposed to improve the performance of verification.
The approach supports the verification of complex constructs for advanced synchronization, multiple instances, and exception management. To this aim, 10 anti-patterns were defined from a repository of process models, and a tool which implements the anti-patterns was developed to evaluate the verification
approach. Results indicate that, at worst, the verification time is less than half a millisecond, even for models with complex control flow constructs.",,,,"Peer Reviewed",,"application/pdf",,,"Argentine Symposium on Software Engineering 2015, 44 JAIIO",,,,,,,,"http://hdl.handle.net/20.500.12272/2130",,"eng||eng",,,,,,,"Gestión de Procesos de Negocios en Colaboraciones Inter-Organizacionales",,,"Pablo Villarreal","http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Business Process, Verification, Soundness, Correctness Properties",,"Detection of Anti-Patterns in the Control Flow of Collaborative Business Processes","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"969","20.500.12272/535",,,,,,,,,,"Orsi, Maximiliano||Roa, Jorge",,,"2015",,,"The verification of the behavior of business process models is an important requirement for Business Process Management. In this work, a verification tool based on behavioral anti-patterns for the verification of BPMN business process models is proposed. The purpose is to provide support to business analysts and system designers to perform verification of the control flow of business process models. The tool will be implemented as a plug-in of the Oryx platform and will determine whether process models are free from errors like deadlocks and lacks of synchronizations.",,,,"Peer Reviewed",,"application/pdf",,,"1º Escuela Latinoamericana de Gestión de Procesos de Negocio",,,,,,,"http://hdl.handle.net/20.500.12272/2134",,,"eng||eng",,,,,,,"Gestión de Procesos de Negocio en Colaboraciones Inter-Organizacionales",,,"Pablo Villarreal","http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"business process; anti-pattern detection; behavioral anti-patterns; deadlocks",,"Tool for the Verification of BPMN Models Based on Anti-patterns","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1231","20.500.12272/535",,,,,,,,,,"Bertossi, Valeria Iliana||Lazzaroni, Esteban Ricardo||De Sentis, Eduardo Martin",,,"2013",,,"En este trabajo presentamos una experiencia que da cuenta del uso de las nuevas tecnologías, desarrollada colaborativamente por docentes y becarios del proyecto “El Uso de SAC, Análisis de su Incidencia en la Comprensión de Matemática en Carreras de Ingeniería de la FRSF”. La misma tiene por objetivo visualizar y construir el algoritmo de cálculo de integrales dobles.
Finalmente, desde nuestra posición de alumnos involucrados en actividades de investigación y desarrollo, valoramos la propuesta desde la visión de la Enseñanza para la Comprensión (EpC)[1].",,,,"Peer Reviewed",,"application/pdf",,,"Jornada Jóvenes Investigadores Tecnológicos - 2013",,,,,,,"http://hdl.handle.net/20.500.12272/2371",,,"spa",,,,,,,,,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"matemática  – comprensión - SAC",,"Uso de Sistema Algebraico de Cómputos para construir significado","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1232","20.500.12272/535",,,,,,,,,,,"Pastorelli, Sonia Pompeya||Frausin, Adriana||Alberto, Malva",,,"2013",,"Este trabajo recoge información y describe un proceso de acción en el aula de matemática en carreras de ingeniería, acerca de una experiencia didáctica que es diseñada y afrontada bajo distintas dimensiones.",,,,"Peer Reviewed",,"application/pdf",,,"27 RELME. Reunión Latinoamericana de Matemática Educativa",,,,,,,,"http://hdl.handle.net/20.500.12272/2372","spa",,,,,,,,,,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentacion","info:eu-repo/semantics/openAccess",,,"evaluación – comprensión – Serie de Fourier",,"El trabajo practico para resignificar competencias en el aprendizaje matemático y en el proceso de evaluación","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1233","20.500.12272/535",,,,,,,,,,"Pastorelli, Sonia Pompeya||Frausin, Adriana||Alberto, Malva",,,"2013",,,"En este trabajo se describe una practica didáctica desarrollada en la cátedre de Calculo Avanzado. En ella se introdujo una opción no tradicional de valoración de los aprendizajes ya que los alumnos pudieron elegir promover un modulo a través de la elaboración de un trabajo practico en el cual, las representaciones gráficas y el uso de sistemas algebraicos de cómputos, son cimientos para la aprehensión de los contenidos.
La propuesta persiguió mejorar la comprensión del tópico Serie de Fourier ademas de propiciar la emergencia y ponderación de competencias necesarias y exigidas por los futuros empleados.
el trabajo permitió al alumno se gestor de su aprendizaje dado que puso en juego, ademas de los conocimientos, la responsabilidad, la capacidad para comunicar eficazmente la habilidad para gestionar información, etc.
Más aun, si bien la producción fue individual, su planteo permitió que fuera el emergente de un trabajo colaborativo con sus pares, por lo que consideramos alentó el desarrollo de competencias interpersonales que el trabajo clásico en el aula y la evaluación clásica no estimula (Medina y Verdejo, 1999) 
Finalmente, a través de una encuesta innominada se recoge la opinión de los alumnos sobre la experiencia de evaluación.",,,,"Peer Reviewed",,"application/pdf",,,"JEIN 2013: II Jornada de Enseñanza de la Ingeniería",,,,,,,"http://hdl.handle.net/20.500.12272/2373",,"spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"comprensión  - evaluación - resolución de problemas",,"Propuesta de evaluación y valoración de la compresión en un tópico de Cálculo Avanzado","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1235","20.500.12272/535",,,,,,,,,,"Bolaño, Juan Jose||Roda, Jonathan||Tschopp, Johann",,,"2013",,,"Este trabajo se enmarca en el proyecto ““El Uso de Sistemas Algebraicos de Cómputos (SAC), Análisis de su Incidencia en la Comprensión de Matemática en Carreras de Ingeniería de la FRSF” en el que se pretende analizar si la inclusión de la herramienta computacional mejoran los desempeños de comprensión de los estudiantes en determinados tópicos. El análisis se hace bajo el marco teórico “Enseñanza para la Comprensión” en el que comprender es sinónimo de pensar y actuar con flexibilidad a partir de lo que se sabe.
Se reporta una experiencia donde se usa el software Mathematica en la resolución de un problema incluido en el Trabajo de Laboratorio. Se pone énfasis en la comprensión de enunciados, los pasos seguidos para resolver las consignas utilizando el programa, en el cambio de estrategia de resolución y en las justificaciones dadas al momento de la defensa oral de los mismos.",,,,"Peer Reviewed",,"application/pdf",,,"I Jornada de Jóvenes Investigadores Tecnológicos (JIT), 2013",,,,,,,"http://hdl.handle.net/20.500.12272/2375",,"spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"Enseñanza para la Comprensión (EpC) – Sistemas Algebraicos de Cómputos (SAC) - Comprensión",,"Incidencia de los Sistemas Algebraicos de Cómputos en la Comprensión del Cálculo","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1236","20.500.12272/535",,,,,,,,,,"Pastorelli, Sonia Pompeya||Bertossi, Valeria Iliana||Scagnetti, Olga",,,"2013",,,"Este trabajo se enmarca en el proyecto “El Uso de SAC, Análisis de su Incidencia en la Comprensión de Matemática en Carreras de Ingeniería de la Facultad Regional Santa Fe” en el que se pretende analizar si la inclusión de la herramienta computacional mejora los desempeños de comprensión de los estudiantes en determinados tópicos. El análisis se hace bajo el marco teórico “Enseñanza para la Comprensión” en el que comprender es sinónimo de pensar y actuar con flexibilidad a partir de lo que se sabe. La experiencia áulica tiene por objetivo construir el algoritmo del cálculo de integrales dobles sobre regiones generales, usando las visualizaciones como apoyo. Con los registros de observación de la experiencia se diseña un instrumento tendiente a categorizar la comprensión mostrada a través de la misma.",,,,"Peer Reviewed",,"application/pdf",,,"XVIII EMCI Nacional - X EMCI Internacional (Educación Matemática en Carreras de Ingeniería)",,,,,,,"http://hdl.handle.net/20.500.12272/2376",,"spa||spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Comprensión, Integrales, Aprendizaje significativo",,"Desarrollo de un instrumento para valorar la comprensión del tópico Integrales Dobles","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1237","20.500.12272/535",,,,,,,,,,"Ferrando, Romina Vanesa||Suau, Silvina",,,"2013",,,"En este trabajo realizamos un análisis de conceptos fundamentales para diseñar materiales didácticos en carreras de Ingeniería, así como propuestas de materiales implementados en las clases durante el año en curso. Nos centramos en la asignatura Análisis Matemático I de la Universidad Tecnológica Nacional – Facultad Regional Santa Fe, en la cual trabajamos como docentes.
Esta asignatura forma parte de las materias básicas de las cinco carreras que se dictan en esta Facultad: Ingeniería Civil, Mecánica, Eléctrica, Industrial y en Sistemas de Información. El dictado de la asignatura es anual y se trabaja en forma homogénea para todas las carreras.
Nuestro objetivo es analizar y elaborar materiales didácticos con la incorporación del empleo de la computadora, los sistemas algebraicos de cálculos y los recursos informáticos de comunicación con el objetivo de mejorar las variables: comprensión, rendimiento académico y aprendizaje autónomo y favorecer la motivación en los alumnos. Brindamos algunas propuestas de materiales y actividades didácticas implementadas en dicha asignatura este año. Es decir, propuestas didácticas que buscan favorecer la comprensión y el aprendizaje significativo en los alumnos, sin dejar de tener en cuenta que serán futuros ingenieros. Consideramos que no es lo mismo enseñar matemática para matemáticos que para ingenieros.",,,,"Peer Reviewed",,"application/pdf",,,"XXXVII REM. Reunión de Educación Matemática",,,,,,,"http://hdl.handle.net/20.500.12272/2377",,"spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"Matemática - Comprensión - TICs",,"Motivación, comprensión y Tecnología en el Análisis Matemático","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1238","20.500.12272/535",,,,,,,,,,"Suau, Silvina||Ferrando, Romina Vanesa",,,"2013",,,"En el siguiente trabajo realizamos un análisis de conceptos fundamentales para diseñar materiales didácticos para la asignatura Análisis Matemático I de la Universidad Tecnológica Nacional – Facultad Regional Santa Fe, en la cual trabajamos como docentes.
Esta asignatura forma parte de las materias básicas de las cinco carreras que se dictan en esta Facultad: Ingeniería Civil, Mecánica, Eléctrica, Industrial y en Sistemas de Información. El dictado de la asignatura es anual y se trabaja en forma homogénea para todas las carreras.
El objetivo de este trabajo es realizar un análisis del marco teórico conceptual para la elaboración de materiales didácticos para Análisis Matemático I. Luego, en una segunda etapa, realizaremos propuestas de diseño de materiales (o adaptación de materiales existentes) para poder incorporar en dicha asignatura problemas de aplicación en Ingeniería, problemas con cierto grado de dificultad que involucren para su resolución distintos temas dados, utilización de softwares, etc. Es decir, propuestas didácticas que favorezcan la comprensión y el aprendizaje significativo en los alumnos, sin dejar de tener en cuenta que serán futuros ingenieros. Consideramos que no es lo mismo enseñar matemática para matemáticos que para ingenieros.
La propuesta para esta etapa, entonces, se basa en brindar las herramientas teóricas necesarias para diseñar materiales didácticos que favorezcan la comprensión, el aprendizaje significativo y la vinculación de la matemática con la ingeniería.",,,,"Peer Reviewed",,"application/pdf",,,"V Jornada de Educación Matemática - II Jornada de Investigación en Educación Matemática",,,,,,,"http://hdl.handle.net/20.500.12272/2378",,"spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"Matemática – Comprensión – Material Educativo",,"Análisis de herramientas para el diseño de Materiales Didácticos en Carreras de ingeniería","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1239","20.500.12272/535",,,,,,,,,,,"Pastorelli, Sonia Pompeya||Casco, Eva||Bertossi, Valeria||Ramirez, Sandra",,,"2013",,"En el afán de que contenidos puedan ser comprendidos por los estudiantes se recurre a la incorporación de softwares que colaboren en el proceso. En este sentido es necesario examinar, utilizar, mediar y hasta reformular los disponibles en la web. La selección de las tecnologías existentes y su adaptación para el uso en nuevas situaciones didácticas es lo que actualmente nos preocupa y nos ocupa en la cátedra Análisis Matemático II. Este trabajo resume la experiencia en la que el uso de un applet resultó medular para mejorar los desempeños de comprensión del tópico “sistemas de ecuaciones diferenciales lineales” por parte de estudiantes del ciclo inicial universitario.",,,,"Peer Reviewed",,"application/pdf",,,"II CADI: Congreso Argentino de Ingenieria – VIII CAEDI Congreso Argentino de Enseñanza de la Ingenieria",,,,,,,,"http://hdl.handle.net/20.500.12272/2379","spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"Tecnologías Emergentes- SAC Sistemas Algebraicos de Cómputos – Ecuaciones Diferenciales - Comprensión",,"Una Experiencia en el Aula de Matemática Aplicando Tecnologías Emergentes","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1268","20.500.12272/535",,,,,,,,,,"Ramirez, Sandra||Scagnetti, Olga||Pastorelli, Sonia Pompeya",,,"2014",,,"Es cierto que hoy en día hay un gran consenso respecto a que los alumnos deben desarrollar la comprensión en todos los niveles de educación. En el nivel Universitario el Diseño Curricular (y su Adecuación 2004) en la formación de ingenieros, promueve la necesidad de fomentar en los alumnos “procesos de comprensión, análisis, comparación, síntesis, razonamiento inductivo, deductivo y analógico a través de los cuales se elaboran procesos de pensamiento, capacidades y actitudes necesarias para su profesión “ [1] Res 326/92 CSU. pág. 18. 
Para esto es necesario en principio, consensuar ¿qué es la comprensión? Y cómo evaluarla?.
Por lo cual se pretende en este trabajo, bajo el marco conceptual de la Enseñanza para la Comprensión (EpC), dar respuesta a estas preguntas y acercar una propuesta de intervención en el aula, mediante aplicación de las nuevas tecnologías, que pretende ayudar a mejorar la comprensión de un tema y luego analizar si esta intervención ayuda al alumno a alcanzar desempeños flexibles(comprensión). Para esto se genera un instrumento que valora estos desempeños de comprensión en alumnos de la asignatura Análisis Matemático II de las carreras ingeniería Mecánica de la Regional Santa Fe de la Universidad Tecnológica Nacional en el año 2013, en la comprensión de un tópico de gran importancia, entre otras cosas por sus aplicaciones prácticas, el tópico derivadas parciales de funciones de dos variables y sus
aplicaciones. 
Si bien no se usó aún –formalmente- dicho instrumento, una primera observación muestra que la inclusión de los Sistemas Algebraicos de Cómputos (SAC) influye de manera muy especial en la dimensión de la comprensión que en general no son altamente valorizadas en los exámenes tradicionales escritos. 
Este trabajo se enmarca en el proyecto “El Uso de SAC, Análisis de su Incidencia en la Comprensión de Matemática en Carreras de Ingeniería de la Facultad Regional Santa Fe”.",,,,"Peer Reviewed",,"application/pdf",,,"IV CAM Cuarto Congreso Argentino de Ingeniería Mecánica",,,,,,,"http://hdl.handle.net/20.500.12272/2429",,"spa",,,,,,,,"El uso de sistemas algebraicos de cómputos (SAC), análisis de su incidencia en la compresión",,,,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su presentación","info:eu-repo/semantics/openAccess",,,"Enseñanza - Comprensión - Matemática - Tecnológica",,"Generando un instrumento para valorar la comprensión de un tópico matemático. El caso: aplicaciones de derivadas parciales de funciones de varias variables","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
